"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"Wed Feb 07 07:36:51 +0000 2024","1.76E+18","Ngasih makan orang papua tapi captionnya, Bukan memasak untuk rohingya"" the audacity""","0","0","0","1","in","1.56E+18","1.76E+18","siderecord","https://twitter.com/siderecord/status/1755133505833767182"
"Wed Feb 07 07:29:48 +0000 2024","1.76E+18","@llllmm016 @RodriChen kan emg dia jg yg ikut2an giring narasi soal pengungsi rohingya","0","0","1","3","in","1454627690","1.76E+18","chuckboyle_","https://twitter.com/chuckboyle_/status/1755131732003889508"
"Wed Feb 07 07:28:04 +0000 2024","1.76E+18","OHH JADI TUJUANNYA KESINI  Tahun lalu orangÂ² femes dan akun gede, sampe mahasiswa bayaran, yg semuanya punya hubungan sama 02, secara masif dan bersamaan bikin konten dehumanisasi dan mengusir rohingya  kita udh tau itu mereka, tp baru tau klo tujuannya buat gaet suara Papua ðŸ˜¢","0","1","0","0","in","579773577","1.76E+18","madeinjapanxxx","https://twitter.com/madeinjapanxxx/status/1755131296148533395"
"Wed Feb 07 07:28:04 +0000 2024","1.76E+18","ada aja kelakuan rohingya","0","0","0","0","in","3032702083","1.76E+18","drunkenmeifter","https://twitter.com/drunkenmeifter/status/1755131295720690051"
"Wed Feb 07 07:07:27 +0000 2024","1.76E+18","@copyraharja Rohingya utara yg berprestasi ðŸ™ðŸ¼","0","0","0","0","in","110667187","1.75E+18","aintsochill","https://twitter.com/aintsochill/status/1755126107165298962"
"Wed Feb 07 07:05:56 +0000 2024","1.76E+18","@chuckboyle_ @RodriChen Kemarin pas ngeliat tu postingan fokusnya langsung situ, kek hina banget rohingya dimatanyaðŸ™„","0","1","1","4","in","8.69E+17","1.76E+18","llllmm016","https://twitter.com/llllmm016/status/1755125726469407030"
"Wed Feb 07 07:05:49 +0000 2024","1.76E+18","@DoankWarto 02 bole 03 bole asal bukan 01 yaman pecinta rohingya bisa2 rohingya di bawa kesini semua","0","0","0","0","in","1.69E+18","1.75E+18","efendy1628","https://twitter.com/efendy1628/status/1755125698346557483"
"Wed Feb 07 06:52:57 +0000 2024","1.76E+18","Kenapa bawa2 rohingya sihðŸ™ƒ","0","0","0","0","in","1.01E+18","1.76E+18","Peachyfott","https://twitter.com/Peachyfott/status/1755122461094691322"
"Wed Feb 07 06:48:38 +0000 2024","1.76E+18","Yang menarik itu kata-kata bukan memasak utk Rohingya. Itu menjadi bukti indikasi isu hoaks pengungsi Rohingya bersumber dari paslon mana.","0","0","0","0","in","1.45E+18","1.76E+18","2komaini_ahmad4","https://twitter.com/2komaini_ahmad4/status/1755121371477409880"
"Wed Feb 07 06:45:59 +0000 2024","1.76E+18","that bukan memasak untuk rohingya"" ...""","0","0","0","0","in","2520481213","1.76E+18","anaisswaterson","https://twitter.com/anaisswaterson/status/1755120706294292697"
"Wed Feb 07 06:45:05 +0000 2024","1.76E+18","@kegblgnunfaedh wajah rohingya anjing""","0","0","0","0","in","1.68E+18","1.76E+18","iraone2345","https://twitter.com/iraone2345/status/1755120481106350217"
"Wed Feb 07 06:34:28 +0000 2024","1.76E+18","@kegblgnunfaedh Pasti keturunan rohingyaðŸ˜‚","0","0","0","1","in","1.73E+18","1.76E+18","FandyX13388","https://twitter.com/FandyX13388/status/1755117808449687640"
"Wed Feb 07 06:30:25 +0000 2024","1.76E+18","dih, narik simpati pake foto yg ada caption demonisasi rohingya lagi. Masih jaman kayak gitu?","0","0","0","0","in","8.59E+17","1.76E+18","hazemeleh_","https://twitter.com/hazemeleh_/status/1755116787849658691"
"Wed Feb 07 06:27:43 +0000 2024","1.76E+18","Ini org kok benci banget sama Rohingya, kenapa sich?","0","0","0","1","in","104835502","1.76E+18","Idatidut9","https://twitter.com/Idatidut9/status/1755116107344834616"
"Wed Feb 07 06:19:02 +0000 2024","1.76E+18","@The_RedsIndo @txtdrkeylie Udah kasi aja dia ktp kasian rohingya ngendok trus disini","0","0","0","0","in","2584110109","1.76E+18","pisamggoreng","https://twitter.com/pisamggoreng/status/1755113925518168144"
"Wed Feb 07 06:06:37 +0000 2024","1.76E+18","BUSET INI DAH KAYA PENGUNGSI ROHINGYA NGECAS HP https://t.co/tWhlE0qd2z","0","1","0","0","in","1.29E+18","1.76E+18","xaldeptussho","https://twitter.com/xaldeptussho/status/1755110799230767210"
"Wed Feb 07 06:03:52 +0000 2024","1.76E+18","@utdfocusid @bliblidotcom anyingg lulusan rohingya ini orang pasti","0","0","0","0","in","7.22E+17","1.76E+18","zanuarherrera20","https://twitter.com/zanuarherrera20/status/1755110105392333140"
"Wed Feb 07 06:03:23 +0000 2024","1.76E+18","@Futnerd1 @nisarcastic @lalisha181 Mak kau rohingya ke","0","0","0","0","in","1.16E+18","1.75E+18","sunlessflowee","https://twitter.com/sunlessflowee/status/1755109984025928063"
"Wed Feb 07 05:50:24 +0000 2024","1.76E+18","@txtdrkeylie @utdfocusid @bliblidotcom gausah di-up orang2 GOBLOK yang dehumanisasi rohingya, key.","0","1","0","9","in","1.61E+18","1.76E+18","xtinctbeast","https://twitter.com/xtinctbeast/status/1755106719796207850"
"Wed Feb 07 05:46:52 +0000 2024","1.76E+18","Pernah. Tp sejak dia ngejek Rohingya jadi ga tertarik samsek. Lagian mbak, program maksi gratis itu cuma bague buat program praktis yg sekali2 aja. Itu bukan solusi buat bantu rakyat kecil. Yg mereka butuhin itu bkn cuma makan, tapi kemudahan mencari nafkah, (cont.)","0","1","0","0","in","1.10E+18","1.76E+18","lilgarnetchs","https://twitter.com/lilgarnetchs/status/1755105829131620610"
"Wed Feb 07 05:38:50 +0000 2024","1.76E+18","@txtdrkeylie @utdfocusid @bliblidotcom Yaelahhh masih aja ada yg bercanda sama isu rohingya","0","0","0","4","in","1.40E+18","1.76E+18","Violance21","https://twitter.com/Violance21/status/1755103808739500109"
"Wed Feb 07 05:33:46 +0000 2024","1.76E+18","@FFOODFESS Aku tadi sarapan pecel pake tempe","0","0","0","0","in","9.88E+17","1.76E+18","bimaaldino1998","https://twitter.com/bimaaldino1998/status/1755102532068888628"
"Wed Feb 07 05:28:47 +0000 2024","1.76E+18","@morticiafrumps iya soalnya flexing privilege assist artis dpt mam ciank gratis padahal jdi rohingya juga bisa","0","0","0","0","in","1.19E+18","1.76E+18","gomaawo0","https://twitter.com/gomaawo0/status/1755101277015687424"
"Wed Feb 07 05:28:35 +0000 2024","1.76E+18","@dillawwwww Orang Palestina sendiri jijik sama orang Indo yang bully Rohingya, copot semangka lu, ganti aja sama amer kayak idola lu bobon itu","0","0","0","8","in","431536316","1.75E+18","akuluthfi","https://twitter.com/akuluthfi/status/1755101228403732509"
"Wed Feb 07 05:26:01 +0000 2024","1.76E+18","@akuntidakaktifl @dillawwwww @iypssntan Karena hate speech nya di tiktok sampe ada yg percaya Anies itu Kristen, Sengkuni, Antek Amerika. Apalagi narasi Rohingya yg katanya bakal jd Israel kalo diterima di Indonesia.","0","0","0","0","in","1.30E+18","1.75E+18","Shetyaria98","https://twitter.com/Shetyaria98/status/1755100583189688343"
"Wed Feb 07 05:24:09 +0000 2024","1.76E+18","@kegblgnunfaedh Warga rohingya be like : kalau mau makan gratis ke indo lah","0","0","0","0","in","1.55E+18","1.75E+18","bbhnwll","https://twitter.com/bbhnwll/status/1755100110474875118"
